GlobalId,IfcClass,Name,Tag
2mEJjBcIX1YQdA7f2wXh7L,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603104,603104
2mEJjBcIX1YQdA7f2wXh7T,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603112,603112
2mEJjBcIX1YQdA7f2wXh74,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603121,603121
2mEJjBcIX1YQdA7f2wXh7C,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603129,603129
2mEJjBcIX1YQdA7f2wXh7A,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603135,603135
2mEJjBcIX1YQdA7f2wXhOo,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603143,603143
2mEJjBcIX1YQdA7f2wXhOw,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603151,603151
2mEJjBcIX1YQdA7f2wXhOY,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603159,603159
2mEJjBcIX1YQdA7f2wXhOg,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603167,603167
2mEJjBcIX1YQdA7f2wXhOI,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603175,603175
2mEJjBcIX1YQdA7f2wXhOQ,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603183,603183
2mEJjBcIX1YQdA7f2wXhO2,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:603191,603191
2pEfTcZRb73xram0wmX_9c,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:607120,607120
2pEfTcZRb73xram0wmX_9l,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:607129,607129
2pEfTcZRb73xram0wmX_9N,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:607137,607137
2pEfTcZRb73xram0wmX_9V,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:607145,607145
2pEfTcZRb73xram0wmX_97,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:607153,607153
2pEfTcZRb73xram0wmX_9F,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:607161,607161
3Xrq1Ptmj3PvyFm$JMrtn9,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:609001,609001
3Xrq1Ptmj3PvyFm$JMrtnI,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:609010,609010
3Xrq1Ptmj3PvyFm$JMrtsY,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:609026,609026
3Xrq1Ptmj3PvyFm$JMrtsg,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:609034,609034
3Xrq1Ptmj3PvyFm$JMrtsw,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:609050,609050
3Xrq1Ptmj3PvyFm$JMrts2,IfcFlowTerminal,M_Return Register:RR-600 x 600 Face 300 x 300 Connection:RR-600 x 600 Face 300 x 300 Connection:609058,609058
