GlobalId,IfcClass,Name,Tag
0p0l5UL3z4bARmm2orwz2v,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635405,635405
1vfMIQPwD89hk55UVXsnpf,IfcFlowController,M_VAV Unit - Single Duct:250 mm:250 mm:579382,579382
1NAlaKy5fFXeFbPxNNJeDb,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603555,603555
3S7CYugLb5EwvHuVha9Jfw,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708762,708762
3S7CYugLb5EwvHuVha9Jeg,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708810,708810
2jgIc0Qiv6mgnxn7VATTqp,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:609372,609372
3S7CYugLb5EwvHuVha9JfS,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708796,708796
0p0l5UL3z4bARmm2orwz2N,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635427,635427
0p0l5UL3z4bARmm2orwz3p,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635463,635463
3_T5bNv6XAJPJSfD_AzAjn,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631589,631589
3_T5bNv6XAJPJSfD_AzAgh,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631551,631551
3S7CYugLb5EwvHuVha9Jex,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708827,708827
1NAlaKy5fFXeFbPxNNJeDu,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603582,603582
1NAlaKy5fFXeFbPxNNJeDg,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603564,603564
3_T5bNv6XAJPJSfD_AzAj5,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631569,631569
0p0l5UL3z4bARmm2orwz2Y,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635414,635414
1NAlaKy5fFXeFbPxNNJeDp,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603573,603573
3_T5bNv6XAJPJSfD_AzAj8,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631580,631580
3_T5bNv6XAJPJSfD_AzAjZ,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631607,631607
3_T5bNv6XAJPJSfD_AzAjw,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631598,631598
0mhQKcy9H4Vxb5L6DWn3bP,IfcFlowFitting,M_Tee - Generic:Standard:Standard:747073,747073
1qCHgHJoHFQPmejNF2VT1B,IfcFlowFitting,M_Tee - Generic:Standard:Standard:745679,745679
0mhQKcy9H4Vxb5L6DWn3iY,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:746554,746554
0mhQKcy9H4Vxb5L6DWn3bG,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:747080,747080
1qCHgHJoHFQPmejNF2VT16,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:745666,745666
0mhQKcy9H4Vxb5L6DWn3ij,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:746549,746549
0mhQKcy9H4Vxb5L6DWn3bT,IfcFlowFitting,M_Transition - Generic:Standard:Standard:747077,747077
2UeQDOr5H2GveaT_zhQ_xY,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:713832,713832
2UeQDOr5H2GveaT_zhQ_aD,IfcFlowFitting,magicirc_multi_shape_trans_001:magicirc_multi_shape_trans_001:magicirc_multi_shape_trans_001:713607,713607
2UeQDOr5H2GveaT_zhQ_fq,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:712958,712958
0mhQKcy9H4Vxb5L6DWn3m_,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:746278,746278
3E$HCkw6f2dvZkvEJvb01R,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:712216,712216
0J3q8r36T0QQtYHes8eEHK,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:711688,711688
3P_IgBZvj44wQ797S6G0mL,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:710520,710520
0mhQKcy9H4Vxb5L6DWn3bU,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:747078,747078
11fFDzf5T9R8MY5BgdZxa6,IfcFlowFitting,magicirc_reduction_001:magicirc_reduction_001:magicirc_reduction_001:712482,712482
17feEoBzz3lPZ8E5f8e9JJ,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:710861,710861
1qCHgHJoHFQPmejNF2VT1N,IfcFlowFitting,M_Transition - Generic:Standard:Standard:745683,745683
0J3q8r36T0QQtYHes8eECM,IfcFlowFitting,magicirc_reduction_001:magicirc_reduction_001:magicirc_reduction_001:711498,711498
11fFDzf5T9R8MY5BgdZxbR,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:712575,712575
2eGk8b7S9EYgiKcuDXjV5S,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:594661,594661
0mhQKcy9H4Vxb5L6DWn3lX,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:746745,746745
1qCHgHJoHFQPmejNF2VT7j,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:745833,745833
3PsgCtzZ18uBzRwpV9IJOe,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:727000,727000
1nnMo_AKzCgPoNKZdxVA8i,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:720383,720383
2vONWFe3D43xMeo7RqvnC4,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:709089,709089
0qWBJGWWnEafrxFae40chY,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:594858,594858
1gW$dr5u590gCcZGG3AF4K,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:729161,729161
0qWBJGWWnEafrxFae40ceT,IfcFlowFitting,M_Round Transition - Angle:45 Degree:45 Degree:594773,594773
1gW$dr5u590gCcZGG3AF5z,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:729120,729120
1qCHgHJoHFQPmejNF2VT5e,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:745964,745964
05i9lTwsj4PAorrUMbjpcy,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:715552,715552
1i8VmiVhTBJfZn39qjfOx7,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:613704,613704
327Nxi0Ef7nOVNqV7vBRtI,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:620836,620836
1GkzlmPcH0QOU$zSigxFH_,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:611092,611092
11fFDzf5T9R8MY5BgdZxbP,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:712573,712573
0rcx3NRlHCjxDJbhLB_pml,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:623541,623541
3S7CYugLb5EwvHuVha9JeY,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:708802,708802
0Uk_0$329EPPWa7jxMy2K0,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:610658,610658
1ddORp9pX9lQGia16eqEWc,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:709239,709239
3FD25pQh93iwhuv3DUYilj,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:589222,589222
2UeQDOr5H2GveaT_zhQ_wl,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:713765,713765
0mhQKcy9H4Vxb5L6DWn3kR,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:746627,746627
3qZnpD2c15qvsmjTSS$Fuz,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:590316,590316
0J3q8r36T0QQtYHes8eEFG,IfcFlowFitting,magicirc_reduction_001:magicirc_reduction_001:magicirc_reduction_001:711564,711564
0xRvsonrf2sAjqECooHOS0,IfcFlowFitting,M_Round Transition - Angle:45 Degree:45 Degree:714930,714930
0mhQKcy9H4Vxb5L6DWn3bm,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:747112,747112
3P_IgBZvj44wQ797S6G0nE,IfcFlowFitting,magicirc_reduction_001:magicirc_reduction_001:magicirc_reduction_001:710435,710435
3S7CYugLb5EwvHuVha9JfF,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:708783,708783
17feEoBzz3lPZ8E5f8e9GB,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:710677,710677
1PC10Oe4P98f8jZ6TNFHwq,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:632352,632352
0mhQKcy9H4Vxb5L6DWn3f6,IfcFlowFitting,M_Transition - Generic:Standard:Standard:746846,746846
3P_IgBZvj44wQ797S6G0nF,IfcFlowFitting,magicirc_reduction_001:magicirc_reduction_001:magicirc_reduction_001:710434,710434
11fFDzf5T9R8MY5BgdZxZF,IfcFlowFitting,magicirc_multi_shape_trans_001:magicirc_multi_shape_trans_001:magicirc_multi_shape_trans_001:712427,712427
3yKSX2JLj4qAVKxYCHd$fh,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:714140,714140
1nnMo_AKzCgPoNKZdxVA7I,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:720385,720385
3P_IgBZvj44wQ797S6G0mR,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:710518,710518
0J3q8r36T0QQtYHes8eEAU,IfcFlowFitting,magicirc_multi_shape_trans_001:magicirc_multi_shape_trans_001:magicirc_multi_shape_trans_001:711362,711362
1PC10Oe4P98f8jZ6TNFHwA,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:632350,632350
1ddORp9pX9lQGia16eqEbE,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:709407,709407
1VueUwnQjBMhnvJE48l1J0,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:630909,630909
0qWBJGWWnEafrxFae40chl,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:594855,594855
17feEoBzz3lPZ8E5f8e9JH,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:710863,710863
35urAQ2xzE28F_hrP6Uoz3,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:709875,709875
1qCHgHJoHFQPmejNF2VT6R,IfcFlowFitting,M_Transition - Generic:Standard:Standard:745759,745759
0J3q8r36T0QQtYHes8eE7U,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:711042,711042
1qCHgHJoHFQPmejNF2VT1H,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:745685,745685
