ElementGlobalId,IfcClass,ElementName,PropertySet,PropertyName,DataType
3WXsVyiXDCAPWj3vH36e$U,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:589254,Identity Data,Assembly Code,str
3jHr1vyBX8GP4OQyNAvgEG,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:614903,Identity Data,Assembly Code,str
3cBzjqVX552gQYvldt9dKw,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:591074,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz3a,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635472,Identity Data,Assembly Code,str
2JWVbDSvH5NPljwtB7V5Op,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640137,Identity Data,Assembly Code,str
2JWVbDSvH5NPljwtB7V5OA,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640176,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz21,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635445,Identity Data,Assembly Code,str
3_T5bNv6XAJPJSfD_AzAjS,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:631560,Identity Data,Assembly Code,str
2JWVbDSvH5NPljwtB7V5OX,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640155,Identity Data,Assembly Code,str
3N0jYBzwL4wx$15TeRgFuj,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:618935,Identity Data,Assembly Code,str
3P_IgBZvj44wQ797S6G0wp,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:710110,Identity Data,Assembly Code,str
3S7CYugLb5EwvHuVha9Jf9,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708777,Identity Data,Assembly Code,str
1Bt2bbQ3vCRRncVtkgKp5p,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:581979,Identity Data,Assembly Code,str
1nJ$eNo3P3bPkcbJTdXIno,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:586117,Identity Data,Assembly Code,str
3jHr1vyBX8GP4OQyNAvgFG,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:614839,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz2O,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635436,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz2m,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635396,Identity Data,Assembly Code,str
1i8VmiVhTBJfZn39qjfOr2,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:614093,Identity Data,Assembly Code,str
15uZAUeUv0ShrxXNlJxaEP,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:639038,Identity Data,Assembly Code,str
1g9OLuC_bCgfhiDAcxypup,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:587663,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz2v,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635405,Identity Data,Assembly Code,str
1NAlaKy5fFXeFbPxNNJeDb,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603555,Identity Data,Assembly Code,str
3S7CYugLb5EwvHuVha9Jfw,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708762,Identity Data,Assembly Code,str
3S7CYugLb5EwvHuVha9Jeg,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708810,Identity Data,Assembly Code,str
2jgIc0Qiv6mgnxn7VATTqp,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:609372,Identity Data,Assembly Code,str
3S7CYugLb5EwvHuVha9JfS,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708796,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz2N,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635427,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz3p,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635463,Identity Data,Assembly Code,str
