ElementGlobalId,IfcClass,ElementName,PropertySet,PropertyName,DataType
2OBrcmyk58NupXoVOHUvVV,IfcDoor,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834,PSet_Revit_Type_Identity Data,Assembly Description,str
2OBrcmyk58NupXoVOHUvR4,IfcDoor,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065,PSet_Revit_Type_Identity Data,Assembly Description,str
2OBrcmyk58NupXoVOHUvPL,IfcDoor,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208,PSet_Revit_Type_Identity Data,Assembly Description,str
1s1jVhK8z0pgKYcr9jt781,IfcDoor,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853,PSet_Revit_Type_Identity Data,Assembly Description,str
1s1jVhK8z0pgKYcr9jt7AB,IfcDoor,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171975,PSet_Revit_Type_Identity Data,Assembly Description,str
1aj$VJZFn2TxepZUBcKp$i,IfcDoor,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:203720,PSet_Revit_Type_Identity Data,Assembly Description,str
1aj$VJZFn2TxepZUBcKpac,IfcDoor,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:204034,PSet_Revit_Type_Identity Data,Assembly Description,str
0kF45Qs8L9PAM9kmb1lT5d,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186596,PSet_Revit_Type_Identity Data,Assembly Code,str
0kF45Qs8L9PAM9kmb1lT5l,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186604,PSet_Revit_Type_Identity Data,Assembly Code,str
0kF45Qs8L9PAM9kmb1lT5t,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186612,PSet_Revit_Type_Identity Data,Assembly Code,str
0kF45Qs8L9PAM9kmb1lT5$,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186620,PSet_Revit_Type_Identity Data,Assembly Code,str
0kF45Qs8L9PAM9kmb1lT2B,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186632,PSet_Revit_Type_Identity Data,Assembly Code,str
0kF45Qs8L9PAM9kmb1lT2N,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186644,PSet_Revit_Type_Identity Data,Assembly Code,str
0kF45Qs8L9PAM9kmb1lT2Z,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186656,PSet_Revit_Type_Identity Data,Assembly Code,str
0kF45Qs8L9PAM9kmb1lT5d,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186596,PSet_Revit_Type_Identity Data,Assembly Description,str
0kF45Qs8L9PAM9kmb1lT5l,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186604,PSet_Revit_Type_Identity Data,Assembly Description,str
0kF45Qs8L9PAM9kmb1lT5t,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186612,PSet_Revit_Type_Identity Data,Assembly Description,str
0kF45Qs8L9PAM9kmb1lT5$,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186620,PSet_Revit_Type_Identity Data,Assembly Description,str
0kF45Qs8L9PAM9kmb1lT2B,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186632,PSet_Revit_Type_Identity Data,Assembly Description,str
0kF45Qs8L9PAM9kmb1lT2N,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186644,PSet_Revit_Type_Identity Data,Assembly Description,str
